model_name,engine_type,engine_power,max_speed,cruise_speed,stall_speed,fuel_tank,all_eng_roc,out_eng_roc,takeoff_distance,landing_distance,empty_weight,length,wing_span,range,price
50 Twin Bonanza,Propjet,0.10421372371177637,0.8724361474918849,1.0077185475112405,-0.2857379059622152,-0.2031843738530576,0.867734439391929,-0.30376812270619563,1.0976662271127968,0.725405241482476,0.8234073013863864,1.2306306544676076,2.178293397503517,1.517362034537625,3500000.0
58 P Baron-press.('77 hgt=9/6) (range based on 190 gal fuel),Propjet,-0.007625824839057837,0.8374787154662483,0.5782319906757976,1.1809817058278023,0.5191481435641956,0.4957531071782675,-0.30376812270619563,-0.29168232383248005,0.49221802591936825,0.7844442990501598,0.9882614016545849,2.178293397503517,1.1634447356052737,3500000.0
58 TC Baron (325) turbochg-non-pressurized,Propjet,-0.007625824839057837,0.6976489873637022,0.7734531528737262,0.8754151200382152,-0.20202157198986176,0.5046751686520269,1.153000894523747,1.573973919552836,0.48350978965352603,0.5566605930845274,0.9811328942189078,1.7778070770104677,1.5259941637798775,3500000.0
100 Darter (S.L. Industries),Propjet,-0.007625824839057837,0.6626915553380656,0.7051257461044512,0.8754151200382152,-0.20202157198986176,0.5046751686520269,1.153000894523747,1.573973919552836,0.48350978965352603,0.5566605930845274,0.9811328942189078,1.7778070770104677,1.3792479666615856,3288000.0
58 Baron (300 hp),Propjet,-0.08311752011087092,0.4442076051778372,0.5684709325659012,1.3643216573015544,-0.21923103956516013,0.17044101959657826,0.8028074883073973,1.3393535131877128,0.41577906314142005,0.4762663439201866,0.6532215521777595,0.7717072962596372,0.24268428309834267,2485000.0
100 Darter (S.L. Industries),Propjet,-0.10268944110726691,0.2956385190688819,0.3439665960382833,0.8754151200382152,-0.21923103956516013,0.17044101959657826,1.0641193193419325,1.7138981378067346,0.38675160892194604,0.4260199381924735,0.6532215521777595,0.7717072962596372,0.1275892265349763,2485000.0
A56TC Turbo Baron,Propjet,-0.10268944110726691,0.2956385190688819,0.383010828477869,0.7531884857223805,-0.24155683533852018,0.3330970633874229,-0.2833253604143783,0.574717128588125,0.29966924626352404,0.3630797036493382,0.6389645373064052,0.7619393372232214,0.1347826675701867,2590000.0
100 Darter (S.L. Industries),Propjet,-0.06354559911447494,0.5665586172675651,0.6367983393351762,1.1198683886698848,-0.21923103956516013,0.5081067307573189,0.6757068357974023,0.7683496326364494,0.33353460951957703,0.3995744614936772,0.6460930447420823,0.7717072962596372,0.465680955189865,3045000.0
E 55 Baron ('70-'72 fuel=142 gal opt),Propjet,-0.06354559911447494,0.4616863211906555,0.5977541068955905,0.99764175435405,-0.21923103956516013,0.45663329917793777,0.7183699918846733,0.7683496326364494,0.33353460951957703,0.3822967500504636,0.6460930447420823,0.7717072962596372,0.465680955189865,2980200.0
100 Darter (S.L. Industries),Propjet,-0.17538514766530913,0.31311723508170014,0.4415771771372476,0.99764175435405,-0.21830079807460345,0.10661396443814558,-0.021124713628024924,0.5351426022132849,0.251290155897734,0.2848010926209011,0.2754106580868712,1.2796411661532605,0.5448088065771794,2762000.0
