model_name,engine_type,engine_power,max_speed,cruise_speed,stall_speed,fuel_tank,all_eng_roc,out_eng_roc,takeoff_distance,landing_distance,empty_weight,length,wing_span,range,price
100 Darter (S.L. Industries),Propjet,6.309918278226516,5.407171771460119,5.389071729816501,74.0,5.950642552587727,7.600902459542082,7.687080155783135,7.605890001053122,9.174713194333032,8.645586406184636,6.082218910376446,6.401917196727186,7.077498053569231,14.81614243827218
E 95 Travel Air (fuel inj.),Propjet,6.309918278226516,5.407171771460119,5.375278407684165,77.0,5.950642552587727,7.549609165154532,7.673223121121708,7.580699752224563,9.137769679141348,8.644706511715198,6.054439346269371,6.293419278846481,7.05617528410041,14.920767389351052
100 Darter (S.L. Industries),Propjet,6.214608098422191,5.493061443340548,5.459585514144159,75.0,5.950642552587727,7.600902459542082,7.470224135899966,7.533693709848633,9.104979856318357,8.644706511715198,6.054439346269371,6.293419278846481,7.146772179452637,14.859314610137389
"95, B95 Travel Air (95 = 4,000 lb. gross)",Piston,5.940171252720432,5.365976015021851,5.2574953720277815,71.0,5.575949103146316,7.150701457592526,7.495541943884256,7.745435610274381,9.082507000466299,8.705331133531631,6.054439346269371,6.401917196727186,6.804614520062624,14.80132735248704
100 Darter (S.L. Industries),Piston,5.940171252720432,5.375278407684165,5.278114659230517,70.0,5.298317366548036,7.150701457592526,7.846198815497425,7.85243908535751,9.082507000466299,8.571113033405668,6.054439346269371,6.401917196727186,6.486160788944089,14.80132735248704
B 36 TC Bonanza,Piston,5.940171252720432,5.375278407684165,5.272999558563747,71.0,5.365976015021851,7.150701457592526,7.495541943884256,7.745435610274381,9.082507000466299,8.540909718033554,6.054439346269371,6.401917196727186,6.573680166960646,14.80132735248704
100 Darter (S.L. Industries),Piston,5.940171252720432,5.389071729816501,5.298317366548036,70.0,5.365976015021851,7.368339686311381,7.495541943884256,7.669961995473577,9.047821442478408,8.496990484098719,6.054439346269371,6.401917196727186,6.573680166960646,14.862829552244833
A 36 Bonanza (300 hp),Piston,5.940171252720432,5.337538079701318,5.25227342804663,67.0,5.438079308923196,7.170119543449628,7.27931883541462,7.635303886259415,8.987196820661973,8.476371196895983,6.045005314036012,6.401917196727186,6.61472560020376,14.845129975145433
100 Darter (S.L. Industries),Piston,5.8289456176102075,5.337538079701318,5.225746673713202,70.0,5.365976015021851,7.226209010100671,7.423568444259167,7.653020413804189,9.011889433252344,8.516192691082654,6.054439346269371,6.403574197934815,6.626717749249025,14.914122846632385
36 Bonanza,Piston,5.8289456176102075,5.337538079701318,5.225746673713202,70.0,5.365976015021851,7.170119543449628,7.352441100243583,7.4673710669175595,8.948975607841776,8.513185170018698,6.054439346269371,6.309918278226516,6.626717749249025,14.956543562516336
100 Darter (S.L. Industries),Piston,5.8289456176102075,5.298317366548036,5.225746673713202,70.0,5.19295685089021,7.170119543449628,7.438383530044307,7.590852123688581,8.948975607841776,8.442469645220301,5.988961416889864,6.309918278226516,6.4457198193855785,14.808762330974558
V 35B Bonanza ('80 & up=fuel std 74 gal),Piston,5.940171252720432,5.5053315359323625,5.4510384535657,73.0,4.955827057601261,7.3783837129967145,7.873217054862741,8.027802848370312,8.820994645747902,8.39502555744203,6.0063531596017325,6.154858094016418,6.917705609835305,14.914122846632385
100 Darter (S.L. Industries),Piston,5.940171252720432,5.517452896464707,5.480638923341991,76.0,4.955827057601261,7.3783837129967145,7.873217054862741,8.027802848370312,8.820994645747902,8.336869637284956,6.0063531596017325,6.154858094016418,6.714170529909472,14.940440154949757
V 35 TC Turbo Bonanza,Piston,5.940171252720432,5.517452896464707,5.4638318050256105,76.0,4.955827057601261,7.387090235656757,7.414572881350589,7.757906208351747,8.81358720447004,8.318742252692399,6.0063531596017325,6.154858094016418,6.714170529909472,14.956543562516336
100 Darter (S.L. Industries),Piston,6.1092475827643655,5.318119993844216,5.25227342804663,76.0,5.288267030694535,7.24422751560335,7.6362696033793735,7.52294091807237,9.20029003612268,8.67334187390617,6.045005314036012,6.39024066706535,6.432940092739179,14.52354635101797
S 35 Bonanza,Piston,6.1092475827643655,5.298317366548036,5.225746673713202,73.0,5.616771097666572,7.251344983372214,7.590852123688581,7.52294091807237,9.179881164491475,8.684401110400144,6.042632833682381,6.386879319362645,6.779921907472252,14.576316386998034
100 Darter (S.L. Industries),Piston,6.1092475827643655,5.313205979041787,5.231108616854587,71.0,5.327876168789581,7.1308988302963465,7.639642287858013,7.358193752733032,9.137769679141348,8.724207360800564,5.983936280687191,6.3473892096560105,6.45833828334479,14.648419680899378
"K,M 35 Bonanza",Piston,6.1092475827643655,5.298317366548036,5.209486152841421,67.0,5.327876168789581,7.081708586105575,7.473069088032197,7.286191714702382,9.07680897935166,8.660427359502146,5.983936280687191,6.3473892096560105,6.448889394146858,14.53335035111459
100 Darter (S.L. Industries),Piston,5.8289456176102075,5.318119993844216,5.19295685089021,72.0,5.19295685089021,7.146772179452637,7.1308988302963465,7.517520850603031,8.895629627136483,8.40737832540903,5.932245187448011,6.3080984415095305,6.668228248417403,14.897315728316002
H 35 Bonanza,Piston,5.8289456176102075,5.342334251964811,5.214935757608986,72.0,5.19295685089021,7.1853870155804165,7.1308988302963465,7.517520850603031,8.85366542803745,8.40290404501411,5.932245187448011,6.3080984415095305,6.70073110954781,14.897315728316002
100 Darter (S.L. Industries),Piston,5.68697535633982,5.225746673713202,5.181783550292085,62.0,4.897839799950911,7.27931883541462,7.138866999945524,7.280697195384741,8.748304912379623,8.318742252692399,5.932245187448011,6.3080984415095305,6.507277712385012,14.508657738524219
"C, D 35 Bonanza",Piston,5.616771097666572,5.181783550292085,5.081404364984463,60.0,4.897839799950911,7.27931883541462,7.138866999945524,7.226209010100671,8.699514748210191,8.282988692742602,5.932245187448011,6.295266001439646,6.587550014824796,14.508657738524219
100 Darter (S.L. Industries),Piston,5.560681631015528,5.176149732573829,5.0689042022202315,60.0,4.897839799950911,7.27931883541462,7.203405521083095,7.102499355774649,8.699514748210191,8.27893600229198,5.932245187448011,6.295266001439646,6.597145701886651,14.508657738524219
35 Bonanza,Piston,5.560681631015528,5.176149732573829,5.062595033026967,56.0,4.897839799950911,7.27931883541462,7.2078598714324755,7.102499355774649,8.612503371220562,8.242756345714477,5.932245187448011,6.295266001439646,6.582025138892826,14.457364444136669
